// This file contains pets' characteristic values
// Caution: The limit for data lines is 256lines. Blank line is not allowed.
// Values are listed below.
// ----------------------------------------------------------------------------
// A = Pet number (= Sprite number)
// B = Normal Capture success rate (Percentage)
// C = Intimacy: Increase when fed
// D = Intimacy: decrease when fed after starved
// E = Intimacy: decrease every 20sec for starvation
// F = Intimacy: decrease when the master dies
// G = Hunger rate: Increase when fed
// H = Hunger rate: decrease every 60sec
// I = Special performance (Yes = 1, No = 0)
// J = Wearable accessories
// K = Food            
// L = Capture item      
// M = Egg item        
// ----------------------------------------------------------------------------------------------------------------
//A,     B,     C,  D,   E,  F,    G,   H,   I, J,       K,       L,         M
//-----------------------------------------------------------------------------------------------------------------
  1513, 10, 10, 100, 20, 20, 80, 3, 0, 10022, 6095, 12358, 9040
  1586, 10, 20, 100, 20, 20, 80, 7, 0, 10023, 6096, 12359, 9041
  1505, 10, 15, 100, 20, 20, 80, 3, 0, 10024, 6097, 12360, 9042
  1143, 10, 10, 100, 20, 20, 80, 3, 0, 10025, 6098, 12361, 9043
  1401, 10, 20, 100, 20, 20, 80, 7, 0, 10026, 6099, 12362, 9044
  1179, 10, 20, 100, 20, 20, 80, 7, 0, 10027, 6100, 12363, 9045
  1299, 10, 10, 100, 20, 20, 80, 7, 0, 10028, 6104, 12364, 9046
  1416, 10, 15, 100, 20, 20, 80, 3, 0, 10029, 6105, 12365, 9047
  1404, 10, 15, 100, 20, 20, 80, 3, 0, 10030, 6106, 12366, 9048
  1504, 10, 10, 100, 20, 20, 80, 3, 0, 10031, 6107, 12367, 9049
  1148, 10, 10, 100, 20, 20, 80, 3, 0, 10032, 6108, 12368, 9050
  1495, 10, 20, 100, 20, 20, 80, 7, 0, 10033, 6109, 12369, 9051
  1374, 10, 10, 100, 20, 20, 80, 3, 0, 10034, 6110, 12370, 9052
  1040, 10, 20, 100, 20, 20, 80, 7, 0, 10035, 6111, 12371, 9053
  1379, 3, 10, 100, 20, 20, 80, 3, 0, 10036, 6112, 12372, 9054
  1370, 3, 10, 100, 20, 20, 80, 3, 0, 10037, 6113, 12373, 9055
  1837, 3, 10, 100, 20, 20, 80, 3, 0, 10038, 6114, 12374, 9056
  2057, 50, 0,   0,  0,  0,  0, 0, 0,     0,    0, 12408, 6221

// Brasilis
2081, 50, 0,   0,  0,  0,  0, 0, 0,     0,    0, 12408, 6221
//port malaya
2313,  10, 	10, 100, 20, 20,   80,  8,   1, 0,	 528,	  12699,     9059					
